date,freq,week
2006-04-02 - 2006-04-08,0,1
2006-04-09 - 2006-04-15,0,2
2006-04-16 - 2006-04-22,0,3
2006-04-23 - 2006-04-29,0,4
2006-04-30 - 2006-05-06,0,5
2006-05-07 - 2006-05-13,0,6
2006-05-14 - 2006-05-20,20,7
2006-05-21 - 2006-05-27,20,8
2006-05-28 - 2006-06-03,21,9
2006-06-04 - 2006-06-10,20,10
2006-06-11 - 2006-06-17,20,11
2006-06-18 - 2006-06-24,20,12
2006-06-25 - 2006-07-01,20,13
2006-07-02 - 2006-07-08,21,14
2006-07-09 - 2006-07-15,21,15
2006-07-16 - 2006-07-22,21,16
2006-07-23 - 2006-07-29,28,17
2006-07-30 - 2006-08-05,35,18
2006-08-06 - 2006-08-12,43,19
2006-08-13 - 2006-08-19,50,20
2006-08-20 - 2006-08-26,57,21
2006-08-27 - 2006-09-02,19,22
2006-09-03 - 2006-09-09,19,23
2006-09-10 - 2006-09-16,21,24
2006-09-17 - 2006-09-23,23,25
2006-09-24 - 2006-09-30,18,26
2006-10-01 - 2006-10-07,17,27
2006-10-08 - 2006-10-14,17,28
2006-10-15 - 2006-10-21,17,29
2006-10-22 - 2006-10-28,17,30
2006-10-29 - 2006-11-04,17,31
2006-11-05 - 2006-11-11,25,32
2006-11-12 - 2006-11-18,32,33
2006-11-19 - 2006-11-25,16,34
2006-11-26 - 2006-12-02,16,35
2006-12-03 - 2006-12-09,0,36
2006-12-10 - 2006-12-16,0,37
2006-12-17 - 2006-12-23,0,38
2006-12-24 - 2006-12-30,0,39
2006-12-31 - 2007-01-06,0,40
2007-01-07 - 2007-01-13,15,41
2007-01-14 - 2007-01-20,14,42
2007-01-21 - 2007-01-27,29,43
2007-01-28 - 2007-02-03,29,44
2007-02-04 - 2007-02-10,29,45
2007-02-11 - 2007-02-17,29,46
2007-02-18 - 2007-02-24,29,47
2007-02-25 - 2007-03-03,14,48
2007-03-04 - 2007-03-10,14,49
2007-03-11 - 2007-03-17,14,50
2007-03-18 - 2007-03-24,14,51
2007-03-25 - 2007-03-31,14,52
2007-04-01 - 2007-04-07,14,53
2007-04-08 - 2007-04-14,27,54
2007-04-15 - 2007-04-21,40,55
2007-04-22 - 2007-04-28,14,56
2007-04-29 - 2007-05-05,14,57
2007-05-06 - 2007-05-12,12,58
2007-05-13 - 2007-05-19,12,59
2007-05-20 - 2007-05-26,12,60
2007-05-27 - 2007-06-02,12,61
2007-06-03 - 2007-06-09,12,62
2007-06-10 - 2007-06-16,12,63
2007-06-17 - 2007-06-23,12,64
2007-06-24 - 2007-06-30,13,65
2007-07-01 - 2007-07-07,13,66
